svc_req_rate,2020-02-20 18:20:36,0.49
svc_req_rate,2020-02-20 18:20:51,3.82
svc_req_rate,2020-02-20 18:21:06,7.22
svc_req_rate,2020-02-20 18:21:36,4.82
svc_req_rate,2020-02-20 18:21:51,4.49
svc_req_rate,2020-02-20 18:22:06,6.96
svc_req_rate,2020-02-20 18:22:36,11.76
svc_req_rate,2020-02-20 18:22:51,11.64
svc_req_rate,2020-02-20 18:23:06,11.62
svc_req_rate,2020-02-20 18:23:21,11.38
svc_req_rate,2020-02-20 18:23:51,11.91
svc_req_rate,2020-02-20 18:24:06,12.13
svc_req_rate,2020-02-20 18:24:21,11.73
svc_req_rate,2020-02-20 18:24:36,12.55
svc_req_rate,2020-02-20 18:24:51,14.36
svc_req_rate,2020-02-20 18:25:06,17.51
svc_req_rate,2020-02-20 18:25:21,19.34
svc_req_rate,2020-02-20 18:25:36,20.16
svc_req_rate,2020-02-20 18:25:51,19.11
svc_req_rate,2020-02-20 18:26:21,18.98
svc_req_rate,2020-02-20 18:26:36,20.47
svc_req_rate,2020-02-20 18:26:51,20.33
svc_req_rate,2020-02-20 18:27:06,21.42
svc_req_rate,2020-02-20 18:27:21,21.27
svc_req_rate,2020-02-20 18:27:36,21.04
svc_req_rate,2020-02-20 18:27:51,22.42
svc_req_rate,2020-02-20 18:28:21,24.71
svc_req_rate,2020-02-20 18:28:36,25.35
svc_req_rate,2020-02-20 18:28:51,24.07
svc_req_rate,2020-02-20 18:29:06,25.80
svc_req_rate,2020-02-20 18:29:21,26.09
svc_req_rate,2020-02-20 18:29:36,25.96
svc_req_rate,2020-02-20 18:29:51,25.40
svc_req_rate,2020-02-20 18:30:06,24.02
svc_req_rate,2020-02-20 18:30:21,24.98
svc_req_rate,2020-02-20 18:30:36,24.07
svc_req_rate,2020-02-20 18:30:51,26.27
svc_req_rate,2020-02-20 18:31:36,25.76
svc_req_rate,2020-02-20 18:31:51,27.00
svc_req_rate,2020-02-20 18:32:06,26.58
svc_req_rate,2020-02-20 18:32:51,27.91
svc_req_rate,2020-02-20 18:33:06,27.20
svc_req_rate,2020-02-20 18:33:21,28.93
svc_req_rate,2020-02-20 18:33:36,27.33
svc_req_rate,2020-02-20 18:33:51,27.11
svc_req_rate,2020-02-20 18:34:06,27.76
svc_req_rate,2020-02-20 18:34:21,30.00
svc_req_rate,2020-02-20 18:34:36,29.62
svc_req_rate,2020-02-20 18:34:51,28.84
svc_req_rate,2020-02-20 18:35:06,30.60
svc_req_rate,2020-02-20 18:35:21,30.49
svc_req_rate,2020-02-20 18:35:36,29.53
svc_req_rate,2020-02-20 18:35:51,27.36
svc_req_rate,2020-02-20 18:36:06,29.53
svc_req_rate,2020-02-20 18:36:36,29.33
svc_req_rate,2020-02-20 18:36:51,29.22
svc_req_rate,2020-02-20 18:37:06,31.27
svc_req_rate,2020-02-20 18:37:36,31.71
svc_req_rate,2020-02-20 18:37:51,31.04
svc_req_rate,2020-02-20 18:38:06,32.42
svc_req_rate,2020-02-20 18:38:21,31.69
svc_req_rate,2020-02-20 18:39:21,31.49
svc_req_rate,2020-02-20 18:39:51,33.02
svc_req_rate,2020-02-20 18:40:06,31.40
svc_req_rate,2020-02-20 18:40:21,32.20
svc_req_rate,2020-02-20 18:40:36,33.24
svc_req_rate,2020-02-20 18:40:51,33.51
svc_req_rate,2020-02-20 18:41:51,33.18
svc_req_rate,2020-02-20 18:42:06,32.49
svc_req_rate,2020-02-20 18:42:36,31.89
svc_req_rate,2020-02-20 18:42:51,32.13
svc_req_rate,2020-02-20 18:43:06,35.51
svc_req_rate,2020-02-20 18:43:36,33.11
svc_req_rate,2020-02-20 18:43:51,32.44
svc_req_rate,2020-02-20 18:44:06,32.67
svc_req_rate,2020-02-20 18:44:21,33.71
svc_req_rate,2020-02-20 18:44:51,34.58
svc_req_rate,2020-02-20 18:45:06,33.67
svc_req_rate,2020-02-20 18:45:36,31.93
svc_req_rate,2020-02-20 18:46:06,32.73
svc_req_rate,2020-02-20 18:46:21,33.91
svc_req_rate,2020-02-20 18:46:36,34.80
svc_req_rate,2020-02-20 18:46:51,33.31
svc_req_rate,2020-02-20 18:47:06,33.91
svc_cpu_use,2020-02-20 12:30:36,0.62
svc_cpu_use,2020-02-20 12:32:06,0.80
svc_cpu_use,2020-02-20 12:36:06,0.87
svc_cpu_use,2020-02-20 12:43:21,0.60
svc_cpu_use,2020-02-20 12:49:51,1.38
svc_cpu_use,2020-02-20 12:58:21,1.98
svc_cpu_use,2020-02-20 13:04:51,1.84
svc_cpu_use,2020-02-20 13:10:36,1.40
svc_cpu_use,2020-02-20 13:17:36,2.07
svc_cpu_use,2020-02-20 13:17:51,1.02
svc_cpu_use,2020-02-20 13:27:06,1.30
svc_cpu_use,2020-02-20 13:38:06,1.18
svc_cpu_use,2020-02-20 13:44:21,1.32
svc_cpu_use,2020-02-20 13:44:36,2.06
svc_cpu_use,2020-02-20 13:48:51,1.71
svc_cpu_use,2020-02-20 13:57:36,1.78
svc_cpu_use,2020-02-20 14:09:06,1.97
svc_cpu_use,2020-02-20 14:12:06,0.42
svc_cpu_use,2020-02-20 14:18:21,1.14
svc_cpu_use,2020-02-20 14:24:21,1.59
svc_cpu_use,2020-02-20 14:34:36,1.31
svc_cpu_use,2020-02-20 14:40:06,2.62
svc_cpu_use,2020-02-20 14:43:21,2.77
svc_cpu_use,2020-02-20 14:48:36,1.97
svc_cpu_use,2020-02-20 14:57:36,2.74
svc_cpu_use,2020-02-20 15:03:06,2.19
svc_cpu_use,2020-02-20 15:15:36,1.03
svc_cpu_use,2020-02-20 15:20:51,1.70
svc_cpu_use,2020-02-20 15:21:06,1.71
svc_cpu_use,2020-02-20 15:21:21,1.49
svc_cpu_use,2020-02-20 15:21:36,2.84
svc_cpu_use,2020-02-20 15:21:51,2.83
svc_cpu_use,2020-02-20 15:22:06,2.54
svc_cpu_use,2020-02-20 15:22:21,2.77
svc_cpu_use,2020-02-20 15:22:36,2.36
svc_cpu_use,2020-02-20 15:22:51,2.82
svc_cpu_use,2020-02-20 15:23:06,2.74
svc_cpu_use,2020-02-20 15:23:21,2.66
svc_cpu_use,2020-02-20 15:23:36,2.73
svc_cpu_use,2020-02-20 15:23:51,2.73
svc_cpu_use,2020-02-20 15:24:06,2.60
svc_cpu_use,2020-02-20 15:24:21,2.83
svc_cpu_use,2020-02-20 15:24:36,2.82
svc_cpu_use,2020-02-20 15:24:51,1.85
svc_cpu_use,2020-02-20 15:25:06,2.45
svc_cpu_use,2020-02-20 15:25:21,2.05
svc_cpu_use,2020-02-20 15:25:36,2.01
svc_cpu_use,2020-02-20 15:25:51,2.36
svc_cpu_use,2020-02-20 15:26:06,1.63
svc_cpu_use,2020-02-20 15:26:21,1.53
svc_cpu_use,2020-02-20 15:26:36,2.41
svc_cpu_use,2020-02-20 15:26:51,0.86
svc_cpu_use,2020-02-20 15:27:06,1.14
svc_cpu_use,2020-02-20 15:27:21,2.30
svc_cpu_use,2020-02-20 15:27:36,2.15
svc_cpu_use,2020-02-20 15:27:51,0.73
svc_cpu_use,2020-02-20 15:28:06,2.27
svc_cpu_use,2020-02-20 15:28:21,2.02
svc_cpu_use,2020-02-20 15:28:36,2.12
svc_cpu_use,2020-02-20 15:28:51,2.81
svc_cpu_use,2020-02-20 15:29:06,2.60
svc_cpu_use,2020-02-20 15:29:21,2.49
svc_cpu_use,2020-02-20 15:29:36,1.86
svc_cpu_use,2020-02-20 15:29:51,2.51
svc_cpu_use,2020-02-20 15:30:06,2.69
svc_cpu_use,2020-02-20 15:30:21,1.86
svc_cpu_use,2020-02-20 15:30:36,2.68
svc_cpu_use,2020-02-20 15:30:51,2.74
svc_cpu_use,2020-02-20 15:31:06,2.20
svc_cpu_use,2020-02-20 15:31:21,2.18
svc_cpu_use,2020-02-20 15:31:36,2.98
svc_cpu_use,2020-02-20 15:31:51,1.55
svc_cpu_use,2020-02-20 15:32:06,2.04
svc_cpu_use,2020-02-20 15:32:21,2.06
svc_cpu_use,2020-02-20 15:32:36,1.40
svc_cpu_use,2020-02-20 15:32:51,2.29
svc_cpu_use,2020-02-20 15:33:06,2.48
svc_cpu_use,2020-02-20 15:33:21,1.66
svc_cpu_use,2020-02-20 15:33:36,2.28
svc_cpu_use,2020-02-20 15:33:51,2.70
svc_cpu_use,2020-02-20 15:34:06,2.55
svc_cpu_use,2020-02-20 15:34:21,2.74
svc_cpu_use,2020-02-20 15:34:36,2.79
svc_cpu_use,2020-02-20 15:34:51,2.67
svc_cpu_use,2020-02-20 15:35:06,2.70
svc_cpu_use,2020-02-20 15:35:21,2.79
svc_cpu_use,2020-02-20 15:35:36,0.71
svc_cpu_use,2020-02-20 15:35:51,0.67
svc_cpu_use,2020-02-20 15:36:06,2.74
svc_cpu_use,2020-02-20 15:36:21,2.25
svc_cpu_use,2020-02-20 15:36:36,2.28
svc_cpu_use,2020-02-20 15:36:51,2.29
svc_cpu_use,2020-02-20 15:37:06,1.21
svc_cpu_use,2020-02-20 15:37:21,1.20
svc_cpu_use,2020-02-20 15:37:36,2.60
svc_cpu_use,2020-02-20 15:37:51,1.34
svc_cpu_use,2020-02-20 15:38:06,1.86
svc_cpu_use,2020-02-20 15:38:21,1.76
svc_cpu_use,2020-02-20 15:38:36,2.66
svc_cpu_use,2020-02-20 15:38:51,2.31
svc_cpu_use,2020-02-20 15:39:06,2.20
svc_cpu_use,2020-02-20 15:39:21,2.72
svc_cpu_use,2020-02-20 15:39:36,2.81
svc_cpu_use,2020-02-20 15:39:51,2.42
svc_cpu_use,2020-02-20 15:40:06,2.27
svc_cpu_use,2020-02-20 15:40:21,1.76
svc_cpu_use,2020-02-20 15:40:36,1.50
svc_cpu_use,2020-02-20 15:40:51,1.47
svc_cpu_use,2020-02-20 15:41:06,0.26
svc_cpu_use,2020-02-20 15:41:21,2.22
svc_cpu_use,2020-02-20 15:41:36,2.11
svc_cpu_use,2020-02-20 15:41:51,1.31
svc_cpu_use,2020-02-20 15:42:06,2.72
svc_cpu_use,2020-02-20 15:42:21,2.76
svc_cpu_use,2020-02-20 15:42:36,2.59
svc_cpu_use,2020-02-20 15:42:51,2.22
svc_cpu_use,2020-02-20 15:43:06,2.79
svc_cpu_use,2020-02-20 15:43:21,2.04
svc_cpu_use,2020-02-20 15:43:36,1.37
svc_cpu_use,2020-02-20 15:43:51,2.09
svc_cpu_use,2020-02-20 15:44:06,1.08
svc_cpu_use,2020-02-20 15:44:21,2.28
svc_cpu_use,2020-02-20 15:44:36,2.70
svc_cpu_use,2020-02-20 15:44:51,2.43
svc_cpu_use,2020-02-20 15:45:06,1.46
svc_cpu_use,2020-02-20 15:45:21,1.42
svc_cpu_use,2020-02-20 15:45:36,2.78
svc_cpu_use,2020-02-20 15:45:51,2.83
svc_cpu_use,2020-02-20 15:46:06,2.75
svc_cpu_use,2020-02-20 15:46:21,1.83
svc_cpu_use,2020-02-20 15:46:36,2.60
svc_cpu_use,2020-02-20 15:46:51,2.07
svc_cpu_use,2020-02-20 15:47:06,1.30
svc_cpu_use,2020-02-20 15:47:21,2.19
svc_cpu_use,2020-02-20 15:47:36,2.65
svc_cpu_use,2020-02-20 15:47:51,2.71
svc_cpu_use,2020-02-20 15:48:06,2.76
svc_cpu_use,2020-02-20 15:48:21,2.36
svc_cpu_use,2020-02-20 15:48:36,2.33
svc_cpu_use,2020-02-20 15:48:51,2.59
svc_cpu_use,2020-02-20 15:49:06,2.66
svc_cpu_use,2020-02-20 15:49:21,1.76
svc_cpu_use,2020-02-20 15:49:36,1.72
svc_cpu_use,2020-02-20 15:49:51,1.72
svc_cpu_use,2020-02-20 15:50:06,2.62
svc_cpu_use,2020-02-20 15:50:21,2.13
svc_cpu_use,2020-02-20 15:50:36,1.48
svc_cpu_use,2020-02-20 15:50:51,1.39
svc_cpu_use,2020-02-20 15:51:06,1.91
svc_cpu_use,2020-02-20 15:51:21,2.76
svc_cpu_use,2020-02-20 15:51:36,1.23
svc_cpu_use,2020-02-20 15:51:51,1.90
svc_cpu_use,2020-02-20 15:52:06,2.37
svc_cpu_use,2020-02-20 15:52:21,2.78
svc_cpu_use,2020-02-20 15:52:36,2.31
svc_cpu_use,2020-02-20 15:52:51,2.63
svc_cpu_use,2020-02-20 15:53:06,2.64
svc_cpu_use,2020-02-20 15:53:21,1.72
svc_cpu_use,2020-02-20 15:53:36,2.75
svc_cpu_use,2020-02-20 15:53:51,2.92
svc_cpu_use,2020-02-20 15:54:06,2.55
svc_cpu_use,2020-02-20 15:54:21,1.47
svc_cpu_use,2020-02-20 15:54:36,1.32
svc_cpu_use,2020-02-20 15:54:51,1.26
svc_cpu_use,2020-02-20 15:55:06,2.48
svc_cpu_use,2020-02-20 15:55:21,2.73
svc_cpu_use,2020-02-20 15:55:36,2.90
svc_cpu_use,2020-02-20 15:55:51,0.57
svc_cpu_use,2020-02-20 15:56:06,1.93
svc_cpu_use,2020-02-20 15:56:21,2.08
svc_cpu_use,2020-02-20 15:56:36,1.84
svc_cpu_use,2020-02-20 15:56:51,2.47
svc_cpu_use,2020-02-20 15:57:06,2.32
svc_cpu_use,2020-02-20 15:57:21,1.95
svc_cpu_use,2020-02-20 15:57:36,1.18
svc_cpu_use,2020-02-20 15:57:51,0.43
svc_cpu_use,2020-02-20 15:58:06,0.34
svc_cpu_use,2020-02-20 15:58:21,0.32
svc_cpu_use,2020-02-20 15:58:36,0.16
svc_cpu_use,2020-02-20 15:58:51,0.20
svc_cpu_use,2020-02-20 15:59:06,0.29
svc_cpu_use,2020-02-20 15:59:21,0.32
svc_cpu_use,2020-02-20 15:59:36,0.47
svc_cpu_use,2020-02-20 15:59:51,0.57
svc_cpu_use,2020-02-20 16:00:06,0.30
svc_cpu_use,2020-02-20 16:00:21,0.28
svc_cpu_use,2020-02-20 16:00:36,0.93
svc_cpu_use,2020-02-20 16:00:51,1.01
svc_cpu_use,2020-02-20 16:01:06,0.89
svc_cpu_use,2020-02-20 16:01:21,1.01
svc_cpu_use,2020-02-20 16:01:36,0.78
svc_cpu_use,2020-02-20 16:01:51,1.19
svc_cpu_use,2020-02-20 16:02:06,1.14
svc_cpu_use,2020-02-20 16:02:21,0.58
svc_cpu_use,2020-02-20 16:02:36,0.87
svc_cpu_use,2020-02-20 16:02:51,0.84
svc_cpu_use,2020-02-20 16:03:06,0.88
svc_cpu_use,2020-02-20 16:03:21,1.13
svc_cpu_use,2020-02-20 16:03:36,1.14
svc_cpu_use,2020-02-20 16:03:51,0.39
svc_cpu_use,2020-02-20 16:04:06,0.75
svc_cpu_use,2020-02-20 16:04:21,1.12
svc_cpu_use,2020-02-20 16:04:36,1.20
svc_cpu_use,2020-02-20 16:04:51,0.92
svc_cpu_use,2020-02-20 16:05:06,1.16
svc_cpu_use,2020-02-20 16:05:21,0.67
svc_cpu_use,2020-02-20 16:05:36,0.52
svc_cpu_use,2020-02-20 16:05:51,1.73
svc_cpu_use,2020-02-20 16:06:06,1.42
svc_cpu_use,2020-02-20 16:06:21,1.54
svc_cpu_use,2020-02-20 16:06:36,1.31
svc_cpu_use,2020-02-20 16:06:51,1.65
svc_cpu_use,2020-02-20 16:07:06,1.76
svc_cpu_use,2020-02-20 16:07:21,1.71
svc_cpu_use,2020-02-20 16:07:36,1.71
svc_cpu_use,2020-02-20 16:07:51,1.54
svc_cpu_use,2020-02-20 16:08:06,1.21
svc_cpu_use,2020-02-20 16:08:21,0.94
svc_cpu_use,2020-02-20 16:08:36,1.13
svc_cpu_use,2020-02-20 16:08:51,1.71
svc_cpu_use,2020-02-20 16:09:06,1.28
svc_cpu_use,2020-02-20 16:09:21,1.30
svc_cpu_use,2020-02-20 16:09:36,1.75
svc_cpu_use,2020-02-20 16:09:51,1.58
svc_cpu_use,2020-02-20 16:10:06,1.48
svc_cpu_use,2020-02-20 16:10:21,1.33
svc_cpu_use,2020-02-20 16:10:36,1.99
svc_cpu_use,2020-02-20 16:10:51,2.16
svc_cpu_use,2020-02-20 16:11:06,2.30
svc_cpu_use,2020-02-20 16:11:21,1.73
svc_cpu_use,2020-02-20 16:11:36,1.68
svc_cpu_use,2020-02-20 16:11:51,1.63
svc_cpu_use,2020-02-20 16:12:06,1.69
svc_cpu_use,2020-02-20 16:12:21,2.03
svc_cpu_use,2020-02-20 16:12:36,2.11
svc_cpu_use,2020-02-20 16:12:51,2.19
svc_cpu_use,2020-02-20 16:13:06,1.07
svc_cpu_use,2020-02-20 16:13:21,1.00
svc_cpu_use,2020-02-20 16:13:36,0.95
svc_cpu_use,2020-02-20 16:13:51,0.67
svc_cpu_use,2020-02-20 16:14:06,1.44
svc_cpu_use,2020-02-20 16:14:21,0.66
svc_cpu_use,2020-02-20 16:14:36,0.58
svc_cpu_use,2020-02-20 16:14:51,2.30
svc_cpu_use,2020-02-20 16:15:06,2.00
svc_cpu_use,2020-02-20 16:15:21,2.00
svc_cpu_use,2020-02-20 16:15:36,2.45
svc_cpu_use,2020-02-20 16:15:51,1.67
svc_cpu_use,2020-02-20 16:16:06,1.69
svc_cpu_use,2020-02-20 16:16:21,2.12
svc_cpu_use,2020-02-20 16:16:36,1.16
svc_cpu_use,2020-02-20 16:16:51,1.12
svc_cpu_use,2020-02-20 16:17:06,0.72
svc_cpu_use,2020-02-20 16:17:21,1.80
svc_cpu_use,2020-02-20 16:17:36,2.52
svc_cpu_use,2020-02-20 16:17:51,2.00
svc_cpu_use,2020-02-20 16:18:06,2.05
svc_cpu_use,2020-02-20 16:18:21,2.54
svc_cpu_use,2020-02-20 16:18:36,2.62
svc_cpu_use,2020-02-20 16:18:51,2.19
svc_cpu_use,2020-02-20 16:19:06,1.58
svc_cpu_use,2020-02-20 16:19:21,1.57
svc_cpu_use,2020-02-20 16:19:36,2.41
svc_cpu_use,2020-02-20 16:19:51,1.93
svc_cpu_use,2020-02-20 16:20:06,2.58
svc_cpu_use,2020-02-20 16:20:21,2.58
svc_cpu_use,2020-02-20 16:20:36,2.05
svc_cpu_use,2020-02-20 16:20:51,2.03
svc_cpu_use,2020-02-20 16:21:06,2.13
svc_cpu_use,2020-02-20 16:21:21,2.02
svc_cpu_use,2020-02-20 16:21:36,1.80
svc_cpu_use,2020-02-20 16:21:51,2.23
svc_cpu_use,2020-02-20 16:22:06,2.04
svc_cpu_use,2020-02-20 16:22:21,1.99
svc_cpu_use,2020-02-20 16:22:36,2.32
svc_cpu_use,2020-02-20 16:22:51,1.75
svc_cpu_use,2020-02-20 16:23:06,1.78
svc_cpu_use,2020-02-20 16:23:21,1.71
svc_cpu_use,2020-02-20 16:23:36,2.68
svc_cpu_use,2020-02-20 16:23:51,2.19
svc_cpu_use,2020-02-20 16:24:06,2.14
svc_cpu_use,2020-02-20 16:24:21,2.07
svc_cpu_use,2020-02-20 16:24:36,0.98
svc_cpu_use,2020-02-20 16:24:51,1.28
svc_cpu_use,2020-02-20 16:25:06,2.32
svc_cpu_use,2020-02-20 16:25:21,2.65
svc_cpu_use,2020-02-20 16:25:36,1.75
svc_cpu_use,2020-02-20 16:25:51,2.62
svc_cpu_use,2020-02-20 16:26:06,1.88
svc_cpu_use,2020-02-20 16:26:21,2.74
svc_cpu_use,2020-02-20 16:26:36,2.73
svc_cpu_use,2020-02-20 16:26:51,2.38
svc_cpu_use,2020-02-20 16:27:06,1.95
svc_cpu_use,2020-02-20 16:27:21,1.96
svc_cpu_use,2020-02-20 16:27:36,1.96
svc_cpu_use,2020-02-20 16:27:51,2.87
svc_cpu_use,2020-02-20 16:28:06,1.95
svc_cpu_use,2020-02-20 16:28:21,2.02
svc_cpu_use,2020-02-20 16:28:36,1.86
svc_cpu_use,2020-02-20 16:28:51,2.14
svc_cpu_use,2020-02-20 16:29:06,2.56
svc_cpu_use,2020-02-20 16:29:21,2.73
svc_cpu_use,2020-02-20 16:29:36,2.52
svc_cpu_use,2020-02-20 16:29:51,1.17
svc_cpu_use,2020-02-20 16:30:06,1.67
svc_cpu_use,2020-02-20 16:30:21,1.49
svc_cpu_use,2020-02-20 16:30:36,2.06
svc_cpu_use,2020-02-20 16:30:51,2.71
svc_cpu_use,2020-02-20 16:31:06,2.35
svc_cpu_use,2020-02-20 16:31:21,1.73
svc_cpu_use,2020-02-20 16:31:36,0.67
svc_cpu_use,2020-02-20 16:31:51,1.41
svc_cpu_use,2020-02-20 16:32:06,0.90
svc_cpu_use,2020-02-20 16:32:21,2.96
svc_cpu_use,2020-02-20 16:32:36,2.94
svc_cpu_use,2020-02-20 16:32:51,1.83
svc_cpu_use,2020-02-20 16:33:06,1.93
svc_cpu_use,2020-02-20 16:33:21,2.88
svc_cpu_use,2020-02-20 16:33:36,1.62
svc_cpu_use,2020-02-20 16:33:51,1.46
svc_cpu_use,2020-02-20 16:34:06,1.09
svc_cpu_use,2020-02-20 16:34:21,1.11
svc_cpu_use,2020-02-20 16:34:36,1.99
svc_cpu_use,2020-02-20 16:34:51,2.35
svc_cpu_use,2020-02-20 16:35:06,2.17
svc_cpu_use,2020-02-20 16:35:21,2.16
svc_cpu_use,2020-02-20 16:35:36,1.90
svc_cpu_use,2020-02-20 16:35:51,2.40
svc_cpu_use,2020-02-20 16:36:06,2.91
svc_cpu_use,2020-02-20 16:36:21,2.82
svc_cpu_use,2020-02-20 16:36:36,2.98
svc_cpu_use,2020-02-20 16:36:51,2.43
svc_cpu_use,2020-02-20 16:37:06,2.40
svc_cpu_use,2020-02-20 16:37:21,2.45
svc_cpu_use,2020-02-20 16:37:36,2.99
svc_cpu_use,2020-02-20 16:37:51,1.88
svc_cpu_use,2020-02-20 16:38:06,1.65
svc_cpu_use,2020-02-20 16:38:21,2.40
svc_cpu_use,2020-02-20 16:38:36,2.40
svc_cpu_use,2020-02-20 16:38:51,2.53
svc_cpu_use,2020-02-20 16:39:06,2.84
svc_cpu_use,2020-02-20 16:39:21,1.17
svc_cpu_use,2020-02-20 16:39:36,1.19
svc_cpu_use,2020-02-20 16:39:51,1.66
svc_cpu_use,2020-02-20 16:40:06,2.67
svc_cpu_use,2020-02-20 16:40:21,2.82
svc_cpu_use,2020-02-20 16:40:36,1.39
svc_cpu_use,2020-02-20 16:40:51,2.50
svc_cpu_use,2020-02-20 16:41:06,1.27
svc_cpu_use,2020-02-20 16:41:21,3.02
svc_cpu_use,2020-02-20 16:41:36,3.06
svc_cpu_use,2020-02-20 16:41:51,2.94
svc_cpu_use,2020-02-20 16:42:06,2.56
svc_cpu_use,2020-02-20 16:42:21,2.19
svc_cpu_use,2020-02-20 16:42:36,2.19
svc_cpu_use,2020-02-20 16:42:51,1.51
svc_cpu_use,2020-02-20 16:43:06,2.48
svc_cpu_use,2020-02-20 16:43:21,2.94
svc_cpu_use,2020-02-20 16:43:36,3.14
svc_cpu_use,2020-02-20 16:43:51,2.94
svc_cpu_use,2020-02-20 16:44:06,3.00
svc_cpu_use,2020-02-20 16:44:21,2.64
svc_cpu_use,2020-02-20 16:44:36,1.22
svc_cpu_use,2020-02-20 16:44:51,0.72
svc_cpu_use,2020-02-20 16:45:06,1.68
svc_cpu_use,2020-02-20 16:45:21,0.71
svc_cpu_use,2020-02-20 16:45:36,0.88
svc_cpu_use,2020-02-20 16:45:51,2.58
svc_cpu_use,2020-02-20 16:46:06,2.01
svc_cpu_use,2020-02-20 16:46:21,2.34
svc_cpu_use,2020-02-20 16:46:36,2.28
svc_cpu_use,2020-02-20 16:46:51,2.35
svc_cpu_use,2020-02-20 16:47:06,2.62
svc_cpu_use,2020-02-20 16:47:21,2.11
svc_cpu_use,2020-02-20 16:47:36,2.30
svc_cpu_use,2020-02-20 16:47:51,2.11
svc_cpu_use,2020-02-20 16:48:06,1.81
svc_cpu_use,2020-02-20 16:48:21,2.59
svc_cpu_use,2020-02-20 16:48:36,2.77
svc_cpu_use,2020-02-20 16:48:51,3.02
svc_cpu_use,2020-02-20 16:49:06,2.96
svc_cpu_use,2020-02-20 16:49:21,1.71
svc_cpu_use,2020-02-20 16:49:36,1.64
svc_cpu_use,2020-02-20 16:49:51,2.70
svc_cpu_use,2020-02-20 16:50:06,1.31
svc_cpu_use,2020-02-20 16:50:21,1.92
svc_cpu_use,2020-02-20 16:50:36,1.78
svc_cpu_use,2020-02-20 16:50:51,1.17
svc_cpu_use,2020-02-20 16:51:06,1.97
svc_cpu_use,2020-02-20 16:51:21,1.97
svc_cpu_use,2020-02-20 16:51:36,3.01
svc_cpu_use,2020-02-20 16:51:51,2.54
svc_cpu_use,2020-02-20 16:52:06,2.12
svc_cpu_use,2020-02-20 16:52:21,1.61
svc_cpu_use,2020-02-20 16:52:36,2.68
svc_cpu_use,2020-02-20 16:52:51,2.53
svc_cpu_use,2020-02-20 16:53:06,2.97
svc_cpu_use,2020-02-20 16:53:21,2.86
svc_cpu_use,2020-02-20 16:53:36,2.78
svc_cpu_use,2020-02-20 16:53:51,2.94
svc_cpu_use,2020-02-20 16:54:06,2.85
svc_cpu_use,2020-02-20 16:54:21,2.02
svc_cpu_use,2020-02-20 16:54:36,1.50
svc_cpu_use,2020-02-20 16:54:51,3.08
svc_cpu_use,2020-02-20 16:55:06,2.57
svc_cpu_use,2020-02-20 16:55:21,2.55
svc_cpu_use,2020-02-20 16:55:36,2.39
svc_cpu_use,2020-02-20 16:55:51,1.97
svc_cpu_use,2020-02-20 16:56:06,3.03
svc_cpu_use,2020-02-20 16:56:21,3.08
svc_cpu_use,2020-02-20 16:56:36,2.23
svc_cpu_use,2020-02-20 16:56:51,3.01
svc_cpu_use,2020-02-20 16:57:06,2.62
svc_cpu_use,2020-02-20 16:57:21,2.90
svc_cpu_use,2020-02-20 16:57:36,2.55
svc_cpu_use,2020-02-20 16:57:51,3.13
svc_cpu_use,2020-02-20 16:58:06,2.23
svc_cpu_use,2020-02-20 16:58:21,1.60
svc_cpu_use,2020-02-20 16:58:36,1.74
svc_cpu_use,2020-02-20 16:58:51,2.67
svc_cpu_use,2020-02-20 16:59:06,2.86
svc_cpu_use,2020-02-20 16:59:21,2.14
svc_cpu_use,2020-02-20 16:59:36,1.29
svc_cpu_use,2020-02-20 16:59:51,3.01
svc_cpu_use,2020-02-20 17:00:06,2.38
svc_cpu_use,2020-02-20 17:00:21,1.85
svc_cpu_use,2020-02-20 17:00:36,2.91
svc_cpu_use,2020-02-20 17:00:51,1.69
svc_cpu_use,2020-02-20 17:01:06,2.12
svc_cpu_use,2020-02-20 17:01:21,2.02
svc_cpu_use,2020-02-20 17:01:36,2.79
svc_cpu_use,2020-02-20 17:01:51,2.93
svc_cpu_use,2020-02-20 17:02:06,2.25
svc_cpu_use,2020-02-20 17:02:21,2.39
svc_cpu_use,2020-02-20 17:02:36,2.42
svc_cpu_use,2020-02-20 17:02:51,3.09
svc_cpu_use,2020-02-20 17:03:06,3.25
svc_cpu_use,2020-02-20 17:03:21,3.22
svc_cpu_use,2020-02-20 17:03:36,3.05
svc_cpu_use,2020-02-20 17:03:51,1.83
svc_cpu_use,2020-02-20 17:04:06,1.87
svc_cpu_use,2020-02-20 17:04:21,1.81
svc_cpu_use,2020-02-20 17:04:36,1.84
svc_cpu_use,2020-02-20 17:04:51,1.93
svc_cpu_use,2020-02-20 17:05:06,2.85
svc_cpu_use,2020-02-20 17:05:21,2.82
svc_cpu_use,2020-02-20 17:05:36,2.97
svc_cpu_use,2020-02-20 17:05:51,2.96
svc_cpu_use,2020-02-20 17:06:06,2.72
svc_cpu_use,2020-02-20 17:06:21,2.90
svc_cpu_use,2020-02-20 17:06:36,1.44
svc_cpu_use,2020-02-20 17:06:51,1.40
svc_cpu_use,2020-02-20 17:07:06,2.64
svc_cpu_use,2020-02-20 17:07:21,2.43
svc_cpu_use,2020-02-20 17:07:36,3.06
svc_cpu_use,2020-02-20 17:07:51,3.10
svc_cpu_use,2020-02-20 17:08:06,2.19
